Key,Attribute
柴胡,TCM
黄芩,TCM
glucose,Chemicals
isoliquiritigenin,Chemicals
phenol,Chemicals
tryptophan,Chemicals
capsaicin,Chemicals
eugenol,Chemicals
linoleic acid,Chemicals
biphenyl,Chemicals
rutin,Chemicals
wogonin,Chemicals
TMPRSS2,Proteins
ACE2,Proteins
