NPC,r_NR,r_CR,SSE_NR,SSE_CR,SSE_l_NR,SSE_l_CR,SSE_a_NR,SSE_a_CR,Cx_NR,Cy_NR,Cz_NR,Cx_CR,Cy_CR,Cz_CR,Tx_NR,Ty_NR,Tz_NR,Tx_CR,Ty_CR,Tz_CR,el_minor_NR,el_minor_CR,el_major_NR,el_major_CR,el_q_NR,el_q_CR,el_rot_NR,el_rot_CR,el_ssum_NR,el_ssum_CR,el_ssumXY_NR,el_ssumXY_CR,el_ssumZ_NR,el_ssumZ_CR,el_Cx_NR,el_Cy_NR,el_Cz_NR,el_Cx_CR,el_Cy_CR,el_Cz_CR,el_Tx_NR,el_Ty_NR,el_Tz_NR,el_Tx_CR,el_Ty_CR,el_Tz_CR
0,48.31993575530565,47.40500356873383,147.2666287348326,89.98149946605658,2.826935401852134,4.162335097356133,144.43969333298048,85.81916436870044,1.365301754569065,-4.9200824538702665,4.506442274037153,4.6366200156685595,2.635745245101108,60.23871479817034,-0.04035288688945524,-0.008173265774652605,0.9991520616233868,-0.06969530517267195,0.050331149926570395,-0.9962978168117991,46.0,45.0,51.2,51.3,0.9,0.88,1.23,-1.342,213.0,276.4,68.6,190.6,144.4,85.8,1.333787392765533,-4.82723091665824,4.50592904366339,4.798987127331339,2.819816668835807,60.236655475207336,-0.04035288688945524,-0.008173265774652605,0.9991520616233868,-0.06969530517267195,0.050331149926570395,-0.9962978168117991
1,45.61130774571794,45.56682729238534,261.8781107704145,170.85035337925413,9.723390577762196,8.03575814294776,252.15472019265226,162.81459523630636,-2.928855105063099,8.635612407657419,-0.22740840010214777,-4.256309024968968,0.9932646498606978,59.93054132704274,0.0025068648823678525,-0.011340499048707639,0.999932552080283,-0.04177660035462593,-0.026155598232736554,0.9987845615266076,37.4,36.2,59.1,58.2,0.63,0.62,1.554,-1.142,662.2,257.3,410.1,94.5,252.2,162.8,-2.9042041883743823,9.554279633504086,-0.21705135325745642,-4.378659634395528,1.324383393974375,59.934094862471625,0.0025068648823678525,-0.011340499048707639,0.999932552080283,-0.04177660035462593,-0.026155598232736554,0.9987845615266076
2,47.145895824862365,49.05558213294947,113.86579003452158,210.21399271678453,4.2666726622909525,5.345787087280013,109.59911737223062,204.86820562950453,2.9058794562653207,3.8582542066694634,2.5506860559507647,10.190763245806124,3.290438644678486,59.98178952589248,-0.06489825502424505,-0.06666991574184167,-0.9956622614269278,0.024497977602006407,-0.017538956106963544,0.9995460140044026,42.4,43.1,52.9,56.5,0.8,0.76,1.448,0.287,177.3,298.7,67.7,93.9,109.6,204.9,2.889032227399947,3.897055320600508,2.549186038024028,9.760240043200655,3.3630970453321494,59.99361619530921,-0.06489825502424505,-0.06666991574184167,-0.9956622614269278,0.024497977602006407,-0.017538956106963544,0.9995460140044026
3,48.16298519080145,45.57256314664355,164.93156659366662,100.66275801698872,3.208322490605879,3.7506412224894974,161.72324410306075,96.91211679449923,-0.49193988310203984,-2.881516435816156,5.141648514569911,3.132650011247103,1.2509879692906085,65.06572853640377,-0.003944552892156653,0.019749641677815982,-0.9997971755091524,0.024831522697149284,0.022663859000251196,0.9994347127130205,46.2,43.1,51.0,49.2,0.91,0.88,-0.739,1.281,275.5,237.1,113.7,140.1,161.7,96.9,-0.4043664722081093,-2.822171703211388,5.142475281511688,3.444274421178187,1.2521041715048413,65.05796073930904,-0.003944552892156653,0.019749641677815982,-0.9997971755091524,0.024831522697149284,0.022663859000251196,0.9994347127130205
4,47.73982764874289,48.791499836026745,69.59213467022472,73.62000114661656,2.5076273981410138,6.021680934196965,67.08450727208371,67.5983202124196,-2.5834031542185882,0.9085699944979876,2.100630191045169,-2.0740101492878895,-4.465254595783396,58.26741919215017,-0.018318884982331723,-0.033832320508297875,-0.9992596221913642,-0.04917067257194012,-0.037384022747641965,-0.9980905168380406,46.9,42.0,49.2,57.5,0.95,0.73,-1.464,0.018,156.1,165.1,89.0,97.5,67.1,67.6,-2.520799497547905,0.888928935001929,2.100147507110665,-1.8624039269469426,-4.333080804098529,58.25204382483728,-0.018318884982331723,-0.033832320508297875,-0.9992596221913642,-0.04917067257194012,-0.037384022747641965,-0.9980905168380406
5,47.74548664111573,48.08814908911184,161.48702008059666,158.12729527561217,4.466543090044627,3.2659282340789506,157.02047699055203,154.8613670415332,7.601217431401668,-5.365333308799494,1.7599853958757632,2.776448075512759,-1.4319845109112934,61.806196465002124,-0.025175194122414653,0.06394438039111933,0.9976358683494165,0.051575521598370165,-0.06207685378708361,0.9967378942308518,45.2,46.1,52.0,51.1,0.87,0.9,0.778,0.492,395.2,282.8,238.1,127.9,157.0,154.9,7.36403545172365,-5.3757420870837445,1.754667303703019,2.669568648582608,-1.4245628700005828,61.81218908788152,-0.025175194122414653,0.06394438039111933,0.9976358683494165,0.051575521598370165,-0.06207685378708361,0.9967378942308518
6,49.75136507459489,46.87726275487357,196.71377893136082,71.40064430611586,2.4904172577221875,4.340085669455772,194.22336167363864,67.06055863666009,-7.108435624079869,-2.864272403271783,2.69522796498986,8.535551220381176,4.248033087648751,59.029513763502976,0.02582206605410012,-0.019998467633693173,0.9994664987867284,-0.0023616495566359903,-0.0913866958043934,-0.9958126803979385,48.7,42.4,51.4,52.6,0.95,0.81,-0.069,0.745,281.2,164.0,87.0,96.9,194.2,67.1,-6.892384372861099,-2.8246042509507725,2.690439823090586,8.529458955872379,4.370605110859657,59.01827965830856,0.02582206605410012,-0.019998467633693173,0.9994664987867284,-0.0023616495566359903,-0.0913866958043934,-0.9958126803979385
