NPC,r_n107_3nm,r_n107_0nm,r_n107_62nm,r_n107_59nm,SSE_n107_3nm,SSE_n107_0nm,SSE_n107_62nm,SSE_n107_59nm,SSE_l_n107_3nm,SSE_l_n107_0nm,SSE_l_n107_62nm,SSE_l_n107_59nm,SSE_a_n107_3nm,SSE_a_n107_0nm,SSE_a_n107_62nm,SSE_a_n107_59nm,Cx_n107_3nm,Cy_n107_3nm,Cz_n107_3nm,Cx_n107_0nm,Cy_n107_0nm,Cz_n107_0nm,Cx_n107_62nm,Cy_n107_62nm,Cz_n107_62nm,Cx_n107_59nm,Cy_n107_59nm,Cz_n107_59nm,Tx_n107_3nm,Ty_n107_3nm,Tz_n107_3nm,Tx_n107_0nm,Ty_n107_0nm,Tz_n107_0nm,Tx_n107_62nm,Ty_n107_62nm,Tz_n107_62nm,Tx_n107_59nm,Ty_n107_59nm,Tz_n107_59nm,el_minor_n107_3nm,el_minor_n107_0nm,el_minor_n107_62nm,el_minor_n107_59nm,el_major_n107_3nm,el_major_n107_0nm,el_major_n107_62nm,el_major_n107_59nm,el_q_n107_3nm,el_q_n107_0nm,el_q_n107_62nm,el_q_n107_59nm,el_rot_n107_3nm,el_rot_n107_0nm,el_rot_n107_62nm,el_rot_n107_59nm,el_ssum_n107_3nm,el_ssum_n107_0nm,el_ssum_n107_62nm,el_ssum_n107_59nm,el_ssumXY_n107_3nm,el_ssumXY_n107_0nm,el_ssumXY_n107_62nm,el_ssumXY_n107_59nm,el_ssumZ_n107_3nm,el_ssumZ_n107_0nm,el_ssumZ_n107_62nm,el_ssumZ_n107_59nm,eCx_n107_3nm,eCy_n107_3nm,eCz_n107_3nm,eCx_n107_0nm,eCy_n107_0nm,eCz_n107_0nm,eCx_n107_62nm,eCy_n107_62nm,eCz_n107_62nm,eCx_n107_59nm,eCy_n107_59nm,eCz_n107_59nm,eTx_n107_3nm,eTy_n107_3nm,eTz_n107_3nm,eTx_n107_0nm,eTy_n107_0nm,eTz_n107_0nm,eTx_n107_62nm,eTy_n107_62nm,eTz_n107_62nm,eTx_n107_59nm,eTy_n107_59nm,eTz_n107_59nm
0,46.7301321568031,49.90727117342913,48.94013351382567,45.86848488404527,33.173153286441945,71.05735609187305,23.45071993043688,34.44491230716774,2.4618719187981424,2.1257936120972105,4.597786160116432,2.875537012252479,30.7112813676438,68.93156247977583,18.852933770320448,31.56937529491526,1.7008472792115934,-5.317998946027646,6.1875848390751065,1.02975622992672,-4.52216596171289,2.8252997089992067,5.328484423748216,2.8472167687979946,61.65887021583868,3.9447556075889043,2.424273721404308,58.81855938050202,-0.0383251904193077,-0.011902118538232753,0.9991944352094969,-0.04089145224521826,-0.0060019995515926405,0.9991455675399152,0.06217625014355565,-0.05160779696458195,0.9967300282476436,0.07999490264008927,-0.04740229029762122,0.9956675340826087,44.3,47.2,46.3,43.0,49.5,52.8,53.2,49.3,0.89,0.89,0.87,0.87,1.096,1.308,0.215,-0.117,49.4,73.0,123.7,62.3,18.7,4.1,104.9,30.7,30.7,68.9,18.9,31.6,1.7574997059762465,-5.3095965883779375,6.189857891065976,1.050784401343346,-4.449393453105213,2.8265974708804023,5.448061527900346,3.015432985541195,61.660120717363974,3.975389659289137,2.4974281848860813,58.81958092745066,-0.0383251904193077,-0.011902118538232753,0.9991944352094969,-0.04089145224521826,-0.0060019995515926405,0.9991455675399152,0.06217625014355565,-0.05160779696458195,0.9967300282476436,0.07999490264008927,-0.04740229029762122,0.9956675340826087
1,43.725638127278486,47.487371309221075,47.04869963692411,44.07654389868757,70.7651787938941,151.3854076284019,72.91793923660177,67.62617180173812,10.485837632839893,8.47952298502502,8.002125384796752,7.755266988019214,60.279341161054205,142.90588464337688,64.91581385180501,59.870904813718916,-3.6675478295040826,8.502519561903176,1.508808506893729,-2.19016238062223,8.768705253411792,-1.9636253070980236,-4.080184822392827,1.7342872486514174,61.497624072495306,-4.432433227545018,0.2522420510699814,58.363458581590166,-0.0008651372859000131,-0.017133975949397924,0.9998528283730771,-0.0022538812242361966,0.006049225324950003,-0.999979163229112,-0.03834004603266347,-0.025773832504834615,0.99893230522805,-0.043937268003086456,-0.024311238461966367,0.9987384443210697,33.3,39.8,37.1,35.0,61.2,58.9,60.1,56.1,0.54,0.68,0.62,0.62,1.532,-0.861,-1.179,-1.078,206.9,281.9,78.3,89.2,146.6,139.0,13.4,29.3,60.3,142.9,64.9,59.9,-3.8555743117363157,10.158290869334813,1.5370199358543497,-2.3546092923559483,9.42943848385755,-1.959257648092732,-4.187585754745765,1.9678239304992187,61.49952748338848,-4.593306868087973,0.3851687855091169,58.35961700050148,-0.0008651372859000131,-0.017133975949397924,0.9998528283730771,-0.0022538812242361966,0.006049225324950003,-0.999979163229112,-0.03834004603266347,-0.025773832504834615,0.99893230522805,-0.043937268003086456,-0.024311238461966367,0.9987384443210697
2,45.840557491358496,48.45482688228764,50.72529243048928,47.374410301076196,38.31822273699704,41.81917883696099,85.44112313403518,79.79366579951774,4.07058550994746,4.052050774945635,5.116137403693222,4.910000740986602,34.24763722704958,37.76712806201535,80.32498573034196,74.88366505853114,3.1133196851155893,4.058283258615664,4.003524240086173,2.7151698688299493,3.9492060332023318,1.074249895049467,9.137302894471235,2.897747188044951,61.73774130871773,11.244273241036808,3.8551164594649046,58.22741628591173,-0.07520516445908322,-0.07332884623721603,-0.9944682315429693,0.05552221202705355,0.06051543520834124,0.9966218771796893,0.01689001181316097,-0.021403392967837748,0.9996282420332149,0.03019646677766783,-0.013772943788825542,0.9994490879547269,41.2,43.5,44.8,41.1,51.4,54.2,57.9,54.7,0.8,0.8,0.77,0.75,1.391,0.148,0.285,0.294,59.8,52.3,111.6,85.1,25.5,14.6,31.3,10.2,34.2,37.8,80.3,74.9,3.0765772310609054,3.930420417181278,4.01573102211678,2.7043533563400346,3.852990641039562,1.0806947395560977,8.831823132743638,3.09637207824882,61.74715561192244,11.0164712674788,3.7145604715883667,58.23236195554693,-0.07520516445908322,-0.07332884623721603,-0.9944682315429693,0.05552221202705355,0.06051543520834124,0.9966218771796893,0.01689001181316097,-0.021403392967837748,0.9996282420332149,0.03019646677766783,-0.013772943788825542,0.9994490879547269
3,46.46684032967263,49.859624680839744,47.31200875107941,43.83186143170798,56.398576856660036,61.30521498358777,28.37012037885479,30.45008170264963,3.256559539455641,2.037626580687014,2.6988654434822528,3.838422552908729,53.14201731720439,59.267588402900756,25.671254935372538,26.611659149740902,-0.3393272631111111,-2.630556384060033,6.892241719945427,-0.6261458639972249,-3.0356967725083486,3.3928241761001194,3.465374338742733,1.364022746111797,66.72520395394612,2.7999256837513418,1.1379531924693753,63.40625311886143,0.001691899039738149,0.01795249271661424,-0.999837409523618,-0.009155219085597816,0.020524468159585363,-0.999747432189881,0.026463664894951163,0.02350574595909538,0.9993733808478362,0.023996222100028552,0.021877567323904334,0.999472637630923,43.4,48.1,44.2,41.6,50.3,51.9,50.8,47.3,0.86,0.93,0.87,0.88,-1.19,-0.456,1.263,1.321,92.5,75.9,40.3,102.9,39.4,16.6,14.7,76.3,53.1,59.3,25.7,26.6,-0.2380194837710406,-2.502112742089107,6.894719408875613,-0.550938374397531,-3.001601816447861,3.39283541873555,3.670521166184372,1.3690198978975605,66.71965407761124,3.121288946172666,1.0876234621284075,63.39963921878349,0.001691899039738149,0.01795249271661424,-0.999837409523618,-0.009155219085597816,0.020524468159585363,-0.999747432189881,0.026463664894951163,0.02350574595909538,0.9993733808478362,0.023996222100028552,0.021877567323904334,0.999472637630923
4,46.31197997848763,49.167678080292625,50.54633210026299,47.03316445086171,16.149665404470326,5.410876433508104,25.063516679593565,12.751020624210167,2.1633171820349517,1.9572655430296877,5.558157077601789,5.927693993243979,13.986348222435373,3.4536108904784166,19.505359601991778,6.8233266309661875,-2.559823369802385,1.0559100521695537,3.8540311078727973,-2.6069829386347836,0.7612299368264281,0.3472292742175409,-1.4819973075872586,-4.677289033617891,59.853533314450004,-2.6484940817820486,-4.207482227801654,56.67878537130505,-0.014698728056439165,-0.033325600164365615,-0.9993364557381103,0.021456680653096385,0.03469545573621391,0.9991675716348121,-0.04888641984150103,-0.03856273216646933,-0.998059634311967,-0.051373553215521436,-0.03529405513978762,-0.9980556536094576,44.6,48.3,43.6,39.7,48.5,50.4,59.0,56.1,0.92,0.96,0.74,0.71,-1.523,0.137,0.107,-0.152,37.8,28.8,40.7,23.4,23.8,25.3,21.2,16.6,14.0,3.5,19.5,6.8,-2.4290429840340817,1.0590303502338259,3.8520034713149864,-2.5715409878104634,0.7414621385114116,0.3471545982059916,-1.3228432426484789,-4.466843832591155,59.83760659643185,-2.572630178651715,-4.124703161564747,56.67195307977087,-0.014698728056439165,-0.033325600164365615,-0.9993364557381103,0.021456680653096385,0.03469545573621391,0.9991675716348121,-0.04888641984150103,-0.03856273216646933,-0.998059634311967,-0.051373553215521436,-0.03529405513978762,-0.9980556536094576
5,46.313139895374775,49.176100054180495,49.40163870747493,46.763818449448856,78.03874309675521,46.70466846593872,52.37007616285272,65.08767144615007,4.267961961297419,4.154057477373122,3.6493760119481533,1.9445260504143742,73.7707811354578,42.550610988565595,48.72070015090456,63.143145395735694,7.157473167486497,-5.558328878866634,3.3591477224262194,8.044961695316834,-5.172337738732361,0.16082306932530793,3.4483232098039505,-0.7782162539985453,63.45149616818566,2.104572941221563,-2.085752767824036,60.16089676181858,-0.026955704169150666,0.06388628916200917,0.9975930693774158,-0.024552525093381114,0.06334951770650027,0.9976893364759858,0.05135806574334498,-0.05749343060274481,0.9970239989692476,0.053324662543502356,-0.06470204261447454,0.9964788638230799,43.1,46.6,46.5,45.7,50.9,53.3,53.3,48.2,0.85,0.87,0.87,0.95,0.622,0.892,0.437,0.656,156.7,150.6,100.9,88.5,83.0,108.1,52.1,25.4,73.8,42.6,48.7,63.1,6.894765686050668,-5.5510762289864815,3.351584708736931,7.72362942458211,-5.281396298870123,0.15984008652878043,3.2833584014488166,-0.9234794700371475,63.45161712098371,1.9375882666274251,-2.0916792558858526,60.16944781678712,-0.026955704169150666,0.06388628916200917,0.9975930693774158,-0.024552525093381114,0.06334951770650027,0.9976893364759858,0.05135806574334498,-0.05749343060274481,0.9970239989692476,0.053324662543502356,-0.06470204261447454,0.9964788638230799
6,48.33125371529542,51.16857835387759,48.444963029355506,45.310334344617104,80.38487274224066,70.81857505946179,22.794733539168657,17.0735665350231,1.637116573501531,2.316159039591673,3.9601325719718,4.131820425884936,78.74775616873913,68.50241601987013,18.834600967196856,12.941746109138165,-6.932329237073889,-2.42518378966933,4.413462070436741,-7.279011346096228,-3.4514747637465852,0.9739043175173628,8.528182168571643,4.318412563773283,60.501467269515054,8.542920156857662,4.177651386221138,57.557560461982646,-0.025642643937680887,0.01969622619805922,-0.9994771200409944,-0.026339831762158008,0.018767445519238368,-0.999476861288656,-0.005233861290405901,-0.08698816983595761,-0.9961955957564677,0.0008709366165350984,-0.09617487839696527,-0.9953640711994475,46.8,49.2,43.9,40.6,50.1,53.5,54.0,51.0,0.93,0.92,0.81,0.79,1.291,-0.907,0.681,0.811,89.1,92.0,51.6,36.8,10.3,23.5,32.8,23.8,78.7,68.5,18.8,12.9,-6.680029003072364,-2.2612924070876455,4.410218771257946,-7.072831067096194,-3.2902917430164442,0.9714972980109237,8.439439570985083,4.465322459687508,60.48910528299101,8.636371619829035,4.289710099751413,57.546814803026685,-0.025642643937680887,0.01969622619805922,-0.9994771200409944,-0.026339831762158008,0.018767445519238368,-0.999476861288656,-0.005233861290405901,-0.08698816983595761,-0.9961955957564677,0.0008709366165350984,-0.09617487839696527,-0.9953640711994475
