NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
0,47.861505432025794,40.5315354039799,3.015247175816066,37.51628822816384,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,51.2,45.2,0.88,0.6255,77.10000000000001,39.6,37.525,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
1,45.58456324302781,90.67367436515897,8.68068824767022,81.99298611748875,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,59.074999999999996,36.3,0.6150000000000001,-0.3965,164.075,82.075,82.0,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
2,48.0987717763029,61.343047626877734,4.537193607393229,56.80585401948451,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,54.55,42.65,0.78,0.5295,77.19999999999999,20.400000000000002,56.800000000000004,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
3,46.867583798324944,44.13099848043806,2.9578685291334095,41.173129951304645,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,50.075,44.324999999999996,0.885,0.2345,77.9,36.75,41.175,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
4,48.264788652476234,14.843769785445541,3.9016084489776017,10.942161336467938,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,53.5,44.05,0.8325,-0.35774999999999996,32.675,21.725,10.95,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
5,47.913674276619766,60.550289792924175,3.5039803752582674,57.04630941766591,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,51.425,45.474999999999994,0.885,0.65175,124.17499999999998,67.14999999999999,57.050000000000004,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
6,48.313782360786405,47.76793696897355,3.011307152737485,44.75662981623607,0.714940435564797,0.6548513491446264,30.861598529862952,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914,52.15,45.125,0.8625,0.469,67.375,22.599999999999998,44.725,0.8307377801613898,0.8008621023337079,30.854409038821643,-0.014086350093427425,-0.03617484412890633,-0.9976284120713914
